211.	Thursday, October 25, 2018	05	11	14	16	39	07
210.	Monday, October 22, 2018	10	11	33	40	42	05
209.	Thursday, October 18, 2018	02	23	29	32	48	03
208.	Monday, October 15, 2018	10	18	24	37	39	01
207.	Thursday, October 11, 2018	01	11	25	26	39	06
206.	Monday, October 08, 2018	01	13	24	41	42	04
205.	Thursday, October 04, 2018	02	14	39	46	49	03
204.	Monday, October 01, 2018	07	25	28	45	49	04
203.	Thursday, September 27, 2018	03	09	12	21	47	03
202.	Monday, September 24, 2018	14	25	27	28	43	04
201.	Thursday, September 20, 2018	03	10	15	23	48	02
200.	Monday, September 17, 2018	04	15	20	24	48	05
199.	Thursday, September 13, 2018	01	11	25	29	46	07
198.	Monday, September 10, 2018	03	29	31	43	48	07
197.	Thursday, September 06, 2018	04	08	20	22	49	06
196.	Monday, September 03, 2018	13	26	36	39	49	01
195.	Thursday, August 30, 2018	25	28	35	39	48	05
194.	Monday, August 27, 2018	07	15	23	31	48	04
193.	Thursday, August 23, 2018	05	11	16	24	42	04
192.	Monday, August 20, 2018	08	12	18	35	40	02
191.	Thursday, August 16, 2018	08	09	25	31	41	02
190.	Monday, August 13, 2018	05	09	30	31	47	07
189.	Thursday, August 09, 2018	02	15	21	32	34	03
188.	Monday, August 06, 2018	11	29	31	34	38	07
187.	Thursday, August 02, 2018	06	09	22	32	38	07
186.	Monday, July 30, 2018	15	17	30	44	47	06
185.	Thursday, July 26, 2018	32	34	43	44	46	06
184.	Monday, July 23, 2018	19	32	38	44	48	02
183.	Thursday, July 19, 2018	27	31	36	38	39	06
182.	Monday, July 16, 2018	05	11	27	34	46	01
181.	Thursday, July 12, 2018	01	02	32	36	39	04
180.	Monday, July 09, 2018	13	26	41	42	47	02
179.	Thursday, July 05, 2018	14	20	27	40	41	02
178.	Monday, July 02, 2018	05	18	23	39	42	03
177.	Thursday, June 28, 2018	06	39	40	48	49	04
176.	Monday, June 25, 2018	12	20	30	43	46	02
175.	Thursday, June 21, 2018	13	28	30	31	43	07
174.	Monday, June 18, 2018	01	16	31	44	48	02
173.	Thursday, June 14, 2018	01	19	33	41	47	01
172.	Monday, June 11, 2018	01	12	19	26	35	07
171.	Thursday, June 07, 2018	02	03	04	40	47	01
170.	Monday, June 04, 2018	01	05	11	30	38	05
169.	Thursday, May 31, 2018	02	09	41	45	48	01
168.	Monday, May 28, 2018	14	28	29	42	48	05
167.	Thursday, May 24, 2018	18	26	38	43	49	07
166.	Monday, May 21, 2018	06	08	22	30	38	06
165.	Thursday, May 17, 2018	01	05	18	42	46	03
164.	Monday, May 14, 2018	03	07	11	13	25	01
163.	Thursday, May 10, 2018	04	16	25	34	39	04
162.	Monday, May 07, 2018	01	36	39	45	49	06
161.	Thursday, May 03, 2018	01	04	29	38	47	05
160.	Monday, April 30, 2018	07	24	25	35	37	02
159.	Thursday, April 26, 2018	06	14	22	26	35	07
158.	Monday, April 23, 2018	13	20	21	37	38	03
157.	Thursday, April 19, 2018	13	21	24	26	43	01
156.	Monday, April 16, 2018	14	17	32	38	49	07
155.	Thursday, April 12, 2018	31	38	40	41	44	05
154.	Monday, April 09, 2018	02	09	34	41	43	01
153.	Thursday, April 05, 2018	05	08	13	18	47	04
152.	Monday, April 02, 2018	22	25	44	45	48	06
151.	Thursday, March 29, 2018	14	17	29	36	43	01
150.	Monday, March 26, 2018	14	22	26	36	45	07
149.	Thursday, March 22, 2018	03	09	18	19	22	02
148.	Monday, March 19, 2018	06	30	34	46	49	04
147.	Thursday, March 15, 2018	09	10	14	23	44	06
146.	Monday, March 12, 2018	04	17	23	24	32	04
145.	Thursday, March 08, 2018	11	17	38	43	49	01
144.	Monday, March 05, 2018	12	21	29	33	35	03
143.	Thursday, March 01, 2018	01	15	24	31	42	01
142.	Monday, February 26, 2018	03	35	40	45	48	01
141.	Thursday, February 22, 2018	14	20	24	26	32	01
140.	Monday, February 19, 2018	02	08	26	43	45	05
139.	Thursday, February 15, 2018	02	06	12	32	43	01
138.	Monday, February 12, 2018	17	21	34	42	44	03
137.	Thursday, February 08, 2018	12	15	22	34	49	03
136.	Monday, February 05, 2018	06	15	25	32	46	01
135.	Thursday, February 01, 2018	04	07	17	25	41	07
134.	Monday, January 29, 2018	07	16	27	34	38	03
133.	Thursday, January 25, 2018	15	22	27	32	44	01
132.	Monday, January 22, 2018	06	26	27	43	44	07
131.	Thursday, January 18, 2018	05	30	33	36	48	02
130.	Monday, January 15, 2018	04	10	20	37	41	03
129.	Thursday, January 11, 2018	01	11	24	35	38	02
128.	Monday, January 08, 2018	04	10	38	43	46	03
127.	Thursday, January 04, 2018	03	04	11	30	37	06
126.	Monday, January 01, 2018	26	29	36	40	45	01
125.	Thursday, December 28, 2017	24	27	28	43	49	06
124.	Monday, December 25, 2017	08	11	16	40	46	04
123.	Thursday, December 21, 2017	12	32	38	46	47	04
122.	Monday, December 18, 2017	13	19	27	33	41	01
121.	Thursday, December 14, 2017	05	07	23	39	47	07
120.	Monday, December 11, 2017	17	19	20	37	47	06
119.	Thursday, December 07, 2017	07	17	31	39	46	06
118.	Monday, December 04, 2017	12	26	31	37	45	04
117.	Thursday, November 30, 2017	07	15	31	35	48	07
116.	Monday, November 27, 2017	06	09	25	33	34	01
115.	Thursday, November 23, 2017	02	22	25	34	39	01
114.	Monday, November 20, 2017	03	10	13	30	34	04
113.	Thursday, November 16, 2017	09	12	22	37	44	06
112.	Monday, November 13, 2017	32	37	38	41	42	02
111.	Thursday, November 09, 2017	06	12	15	17	39	02
110.	Monday, November 06, 2017	04	18	22	38	48	02
109.	Thursday, November 02, 2017	16	17	26	32	38	01
108.	Monday, October 30, 2017	16	27	32	34	45	02
107.	Thursday, October 26, 2017	05	17	24	35	36	07
106.	Monday, October 23, 2017	05	14	22	34	40	04
105.	Thursday, October 19, 2017	07	27	39	42	44	07
104.	Monday, October 16, 2017	02	32	39	40	42	07
103.	Thursday, October 12, 2017	03	07	11	23	45	02
102.	Monday, October 09, 2017	13	27	35	39	43	07
101.	Thursday, October 05, 2017	05	22	40	47	48	07
100.	Monday, October 02, 2017	02	12	14	35	45	03
99.	Thursday, September 28, 2017	15	17	20	35	36	03
98.	Monday, September 25, 2017	19	28	30	34	39	05
97.	Thursday, September 21, 2017	02	04	12	23	47	02
96.	Monday, September 18, 2017	01	02	07	08	19	05
95.	Thursday, September 14, 2017	18	19	24	35	42	01
94.	Monday, September 11, 2017	03	10	23	37	39	03
93.	Thursday, September 07, 2017	03	08	35	41	44	01
92.	Monday, September 04, 2017	03	05	34	41	45	03
91.	Thursday, August 31, 2017	03	04	06	27	37	06
90.	Monday, August 28, 2017	17	21	22	28	44	01
89.	Thursday, August 24, 2017	08	30	33	34	47	06
88.	Monday, August 21, 2017	06	20	21	32	33	02
87.	Thursday, August 17, 2017	22	33	37	40	46	07
86.	Monday, August 14, 2017	02	05	09	15	33	05
85.	Thursday, August 10, 2017	05	10	16	18	37	02
84.	Monday, August 07, 2017	02	03	27	35	49	07
83.	Thursday, August 03, 2017	19	24	35	37	43	05
82.	Monday, July 31, 2017	10	13	26	32	33	04
81.	Thursday, July 27, 2017	04	05	11	24	49	01
80.	Monday, July 24, 2017	21	32	33	39	46	02
79.	Thursday, July 20, 2017	06	10	17	33	47	05
78.	Monday, July 17, 2017	08	10	26	28	35	02
77.	Thursday, July 13, 2017	14	16	37	42	44	06
76.	Monday, July 10, 2017	14	18	39	42	49	02
75.	Thursday, July 06, 2017	06	21	22	26	45	07
74.	Monday, July 03, 2017	01	03	07	13	42	02
73.	Thursday, June 29, 2017	01	02	26	36	46	04
72.	Monday, June 26, 2017	20	25	39	44	46	03
71.	Thursday, June 22, 2017	09	21	30	43	49	01
70.	Monday, June 19, 2017	07	12	25	36	49	02
69.	Thursday, June 15, 2017	04	12	20	28	33	01
68.	Monday, June 12, 2017	19	23	45	47	48	03
67.	Thursday, June 08, 2017	11	21	37	44	47	04
66.	Monday, June 05, 2017	06	21	23	29	45	02
65.	Thursday, June 01, 2017	10	18	20	21	48	07
64.	Monday, May 29, 2017	04	13	16	36	49	02
63.	Thursday, May 25, 2017	04	08	18	29	43	07
62.	Monday, May 22, 2017	15	18	27	30	45	01
